正股代码,正股简称,债券代码,债券简称
300539,横河模具,123013,横河转债
002370,亚太药业,128062,亚药转债
300729,乐歌股份,123072,乐歌转债
300297,蓝盾股份,123015,蓝盾转债
600831,广电网络,110044,广电转债
002542,中化岩土,128037,岩土转债
000700,模塑科技,127004,模塑转债
002446,盛路通信,128041,盛路转债
603822,嘉澳环保,113502,嘉澳转债
603660,苏州科达,113569,科达转债
300246,宝莱特,123065,宝莱转债
000688,国城矿业,127019,国城转债
002279,久其软件,128015,久其转债
600398,海澜之家,110045,海澜转债
603708,家家悦,113584,家悦转债
600271,航天信息,110031,航信转债
603608,天创时尚,113589,天创转债
002284,亚太股份,128023,亚太转债
300482,万孚生物,123064,万孚转债
002753,永东股份,128014,永东转债
300381,溢多利,123018,溢利转债
002842,翔鹭钨业,128072,翔鹭转债
603887,城地香江,113596,城地转债
300473,德尔股份,123011,德尔转债
002877,智能自控,128070,智能转债
603679,华体科技,113574,华体转债
603518,锦泓集团,113527,维格转债
603278,大业股份,113535,大业转债
603912,佳力图,113597,佳力转债
002717,岭南股份,128044,岭南转债
002008,大族激光,128035,大族转债
002436,兴森科技,128122,兴森转债
300645,正元智慧,123043,正元转债
600000,浦发银行,110059,浦发转债
603602,纵横通信,113573,纵横转债
603081,大丰实业,113530,大丰转债
603687,大胜达,113591,胜达转债
002472,双环传动,128032,双环转债
002541,鸿路钢构,128134,鸿路转债
300619,金银河,123042,银河转债
002658,雪迪龙,128033,迪龙转债
601998,中信银行,113021,中信转债
300636,同和药业,123073,同和转债
601929,吉视传媒,113017,吉视转债
002941,新疆交建,128132,交建转债
603225,新凤鸣,113508,新凤转债
000810,创维数字,127013,创维转债
002376,新北洋,128083,新北转债
002838,道恩股份,128117,道恩转债
603569,长久物流,113519,长久转债
000726,鲁泰A,127016,鲁泰转债
002036,联创电子,128101,联创转债
603516,淳中科技,113594,淳中转债
603707,健友股份,113579,健友转债
002815,崇达技术,128131,崇达转2
002287,奇正藏药,128133,奇正转债
600996,贵广网络,110052,贵广转债
000070,特发信息,127021,特发转2
002631,德尔未来,128063,未来转债
603817,海峡环保,113532,海环转债
002557,洽洽食品,128135,洽洽转债
603228,景旺电子,113602,景20转债
601611,中国核建,113024,核建转债
002949,华阳国际,128125,华阳转债
002707,众信旅游,128022,众信转债
001965,招商公路,127012,招路转债
000070,特发信息,127008,特发转债
603978,深圳新星,113600,新星转债
603055,台华新材,113525,台华转债
002083,孚日股份,128087,孚日转债
600521,华海药业,110076,华海转债
002783,凯龙股份,128052,凯龙转债
000861,海印股份,127003,海印转债
600909,华安证券,110067,华安转债
601985,中国核电,113026,核能转债
002859,洁美科技,128137,洁美转债
300416,苏试试验,123060,苏试转债
002861,瀛通通讯,128118,瀛通转债
002772,众兴菌业,128026,众兴转债
002749,国光股份,128123,国光转债
002022,科华生物,128124,科华转债
603606,东方电缆,113603,东缆转债
600919,江苏银行,110053,苏银转债
601222,林洋能源,113014,林洋转债
002503,搜于特,128100,搜特转债
002527,新时达,128018,时达转债
603897,长城科技,113528,长城转债
603499,翔港科技,113566,翔港转债
000623,吉林敖东,127006,敖东转债
300700,岱勒新材,123024,岱勒转债
603901,永创智能,113559,永创转债
300567,精测电子,123025,精测转债
000761,本钢板材,127018,本钢转债
603618,杭电股份,113505,杭电转债
300407,凯发电气,123014,凯发转债
600297,广汇汽车,110072,广汇转债
300505,川金诺,123069,金诺转债
603568,伟明环保,113607,伟20转债
002203,海亮股份,128081,海亮转债
002907,华森制药,128069,华森转债
600577,精达股份,110074,精达转债
603108,润达医疗,113588,润达转债
300577,开润股份,123039,开润转债
600498,烽火通信,110062,烽火转债
600231,凌钢股份,110070,凌钢转债
002722,金轮股份,128076,金轮转债
601515,东风股份,113030,东风转债
600029,南方航空,110075,南航转债
601238,广汽集团,113009,广汽转债
300657,弘信电子,123068,弘信转债
000065,北方国际,127014,北方转债
300569,天能重工,123071,天能转债
601211,国泰君安,113013,国君转债
002873,新天药业,128091,新天转债
601311,骆驼股份,113012,骆驼转债
600939,重庆建工,110064,建工转债
603677,奇精机械,113524,奇精转债
603233,大参林,113605,大参转债
002455,百川股份,128093,百川转债
603368,柳药股份,113563,柳药转债
002921,联诚精密,128120,联诚转债
002548,金新农,128036,金农转债
603876,鼎胜新材,113534,鼎胜转债
300655,晶瑞股份,123031,晶瑞转债
600061,国投资本,110073,国投转债
300265,通光线缆,123034,通光转债
601789,宁波建工,113036,宁建转债
002728,特一药业,128025,特一转债
300335,迪森股份,123023,迪森转债
300031,宝通科技,123053,宝通转债
002958,青农商行,128129,青农转债
002823,凯中精密,128042,凯中转债
300580,贝斯特,123075,贝斯转债
600566,济川药业,110038,济川转债
603331,百达精工,113570,百达转债
600105,永鼎股份,110058,永鼎转债
000789,万年青,127017,万青转债
300197,铁汉生态,123004,铁汉转债
600388,龙净环保,110068,龙净转债
603320,迪贝电气,113546,迪贝转债
300409,道氏技术,123007,道氏转债
002174,游族网络,128074,游族转债
000665,湖北广电,127007,湖广转债
600483,福能股份,110048,福能转债
002615,哈尔斯,128073,哈尔转债
002846,英联股份,128079,英联转债
002360,同德化工,128103,同德转债
603871,嘉友国际,113599,嘉友转债
603956,威派格,113608,威派转债
300692,中环环保,123026,中环转债!
002930,宏川智慧,128121,宏川转债
603557,起步股份,113576,起步转债
600863,内蒙华电,110041,蒙电转债
600998,九州通,110034,九州转债
300748,金力永磁,123033,金力转债
300382,斯莱克,123067,斯莱转债
300057,万顺新材,123012,万顺转债
300437,清水源,123028,清水转债
600929,雪天盐业,110071,湖盐转债
300231,银信科技,123059,银信转债
002228,合兴包装,128071,合兴转债
002961,瑞达期货,128116,瑞达转债
002787,华源控股,128049,华源转债
000703,恒逸石化,127022,恒逸转债
600487,亨通光电,110056,亨通转债
603323,苏农银行,113516,苏农转债
601619,嘉泽新能,113039,嘉泽转债
603579,荣泰健康,113606,荣泰转债
601020,华钰矿业,113027,华钰转债
601860,紫金银行,113037,紫银转债
600567,山鹰国际,110047,山鹰转债
603098,森特股份,113557,森特转债
603528,多伦科技,113604,多伦转债
002860,星帅尔,128094,星帅转债
603007,花王股份,113595,花王转债
300631,久吾高科,123047,久吾转债
601366,利群股份,113033,利群转债
600567,山鹰国际,110063,鹰19转债
603030,全筑股份,113578,全筑转债
002807,江阴银行,128034,江银转债
603898,好莱客,113542,好客转债
603966,法兰泰克,113598,法兰转债
300752,隆利科技,123074,隆利转债
000887,中鼎股份,127011,中鼎转2
603861,白云电器,113549,白电转债
002171,楚江新材,128109,楚江转债
300296,利亚德,123035,利德转债
300608,思特奇,123054,思特转债
603667,五洲新春,113568,新春转债
002538,司尔特,128064,司尔转债
600522,中天科技,110051,中天转债
601012,隆基股份,113038,隆20转债
600755,厦门国贸,110033,国贸转债
002741,光华科技,128051,光华转债
000932,华菱钢铁,127023,华菱转2
002061,浙江交科,128107,交科转债
002475,立讯精密,128136,立讯转债
600674,川投能源,110061,川投转债
601799,星宇股份,113040,星宇转债
002616,长青集团,128105,长集转债
300487,蓝晓科技,123027,蓝晓转债
600326,西藏天路,110060,天路转债
002325,洪涛股份,128013,洪涛转债
000060,中金岭南,127020,中金转债
002224,三力士,128039,三力转债
300618,寒锐钴业,123017,寒锐转债
601899,紫金矿业,113041,紫金转债
600908,无锡银行,110043,无锡转债
300422,博世科,123010,博世转债
300040,九洲集团,123030,九洲转债
300652,雷迪克,123045,雷迪转债
002245,澳洋顺昌,128010,顺昌转债
002067,景兴纸业,128130,景兴转债
002258,利尔化学,128046,利尔转债
300687,赛意信息,123066,赛意转债
603617,君禾股份,113567,君禾转债
002562,兄弟科技,128021,兄弟转债
002839,张家港行,128048,张行转债
601818,光大银行,113011,光大转债
600420,现代制药,110057,现代转债
000783,长江证券,127005,长证转债
002811,郑中设计,128066,亚泰转债
002460,赣锋锂业,128126,赣锋转2
300207,欣旺达,123058,欣旺转债
300427,红相股份,123044,红相转债
600323,瀚蓝环境,110069,瀚蓝转债
002758,华通医药,128040,华通转债
603690,至纯科技,113556,至纯转债
300190,维尔利,123049,维尔转债
002775,文科园林,128127,文科转债
300438,鹏辉能源,123070,鹏辉转债
603716,塞力斯,113601,塞力转债
300554,三超新材,123062,三超转债
002002,鸿达兴业,128085,鸿达转债
300021,大禹节水,123063,大禹转债
002832,比音勒芬,128113,比音转债
603890,春秋电子,113577,春秋转债
601678,滨化股份,113034,滨化转债
002510,天汽模,128090,汽模转2
300303,聚飞光电,123050,聚飞转债
300545,联得装备,123038,联得转债
300586,美联新材,123057,美联转债
002806,华锋股份,128082,华锋转债
300388,国祯环保,123002,国祯转债
601677,明泰铝业,113025,明泰转债
603165,荣晟环保,113541,荣晟转债
603776,永安行,113609,永安转债
300511,雪榕生物,123056,雪榕转债
603688,石英股份,113548,石英转债
300398,飞凯材料,123078,飞凯转债
002965,祥鑫科技,128139,祥鑫转债
603806,福斯特,113611,福20转债
300517,海波重科,123080,海波转债
002368,太极股份,128078,太极转债
603663,三祥新材,113572,三祥转债
002614,奥佳华,128097,奥佳转债
603136,天目湖,113564,天目转债
002649,博彦科技,128057,博彦转债
002973,侨银环保,128138,侨银转债
002551,尚荣医疗,128053,尚荣转债
300527,中船应急,123048,应急转债
603348,文灿股份,113537,文灿转债
600711,盛屯矿业,110066,盛屯转债
002597,金禾实业,128017,金禾转债
300170,汉得信息,123077,汉得转债
300532,今天国际,123051,今天转债
300709,精研科技,123081,精研转债
002157,正邦科技,128114,正邦转债
601727,上海电气,113008,电气转债
002382,蓝帆医疗,128108,蓝帆转债
300665,飞鹿股份,123052,飞鹿转债
603797,联泰环保,113526,联泰转债
603035,常熟汽饰,113550,常汽转债
600985,淮北矿业,110065,淮矿转债
600461,洪城水业,110077,洪城转债
603989,艾华集团,113504,艾华转债
603313,梦百合,113520,百合转债
603578,三星新材,113536,三星转债
601615,明阳智能,113029,明阳转债
002100,天康生物,128030,天康转债
002726,龙大肉食,128119,龙大转债
600197,伊力特,110055,伊力转债
603659,璞泰来,113562,璞泰转债
300587,天铁股份,123046,天铁转债
601127,小康股份,113016,小康转债
300677,英科医疗,123029,英科转债
002078,太阳纸业,128029,太阳转债
300138,晨光生物,123055,晨光转债
603906,龙蟠科技,113581,龙蟠转债!
603180,金牌厨柜,113553,金牌转债!
601233,桐昆股份,113032,桐20转债
603939,益丰药房,113583,益丰转债
300429,强力新材,123076,强力转债
603113,金能科技,113545,金能转债
002865,钧达股份,128050,钧达转债
002408,齐翔腾达,128128,齐翔转2
002311,海大集团,128102,海大转债!
603089,正裕工业,113561,正裕转债
002701,奥瑞金,128096,奥瑞转债
603179,新泉股份,113509,新泉转债
603833,欧派家居,113543,欧派转债
002840,华统股份,128106,华统转债
300088,长信科技,123022,长信转债
002812,恩捷股份,128095,恩捷转债
603377,东方时尚,113575,东时转债
000876,新希望,127015,希望转债
002497,雅化集团,128065,雅化转债
603301,振德医疗,113555,振德转债!
603187,海容冷链,113590,海容转债
002460,赣锋锂业,128028,赣锋转债
300450,先导智能,123036,先导转债!
002406,远东传动,128075,远东转债
300772,运达股份,123079,运达转债
002318,久立特材,128019,久立转2!
603678,火炬电子,113582,火炬转债
000401,冀东水泥,127025,冀东转债
300424,航新科技,123061,航新转债
002831,裕同科技,128104,裕同转债
002241,歌尔股份,128112,歌尔转2
603669,灵康药业,113610,灵康转债
603345,安井食品,113592,安20转债
603665,康隆达,113580,康隆转债
603039,泛微网络,113587,泛微转债
603336,宏辉果蔬,113565,宏辉转债
002756,永兴材料,128110,永兴转债
603896,寿仙谷,113585,寿仙转债
603131,上海沪工,113593,沪工转债
002863,今飞凯达,128056,今飞转债
002738,中矿资源,128111,中矿转债
002444,巨星科技,128115,巨星转债
603185,上机数控,113586,上机转债
601865,福莱特,113035,福莱转债
000967,盈峰环境,127024,盈峰转债
